"","Case.Number","Incident.City","Incident.State","Incident.Zip","Vehicle.Type","Vehicle.Color","Offender.Race","Offender.Gender","Offender.Perceived.Age"
"170",1282145,"Spring City","UT",84662,"Sport Utility","Red","Unknown","Male","Unknown"
"171",1282148,"Spring City","UT",84662,"Sport Utility","Red","Unknown","Male","Unknown"
"172",1282232,"Chicago","IL",60645,"Sport Utility","Red","Unknown","Male","Unknown"
"173",1282235,"Chicago","IL",60631,"Sport Utility","Gold","White","Male","35-45"
"174",1282239,"Chicago","IL",60638,"Sedan, 4 door","White","Black","Male","30-40"
"175",1282246,"York","NE",68467,"Pickup Truck","Red","White","Male","Unknown"
"176",1282664,"Newnan","GA",30263,"Sedan, 4 door","Black","White","Male","25-26"
"177",1282689,"Leicester","MA",1524,"Sedan, 4 door","Burgundy","Unknown","Male","20-29"
"178",1282789,"Ocala","FL",34471,"Sedan, 4 door","Silver","Unknown","Male","Unknown"
"179",1283170,"Williamsport","PA",17701,"Pickup Truck","White","White","Male","25-35"
"180",1283548,"Southfield","MI",48075,"Pickup Truck","Black","White","Male","Unknown"
"181",1283614,"Kalamazoo","MI",49008,"Pickup Truck","Red","Unknown","Male","Unknown"
"182",1284016,"Harrisburg","NC",28075,"Sedan, 4 door","White","White","Male","45-55"
"183",1284183,"Jacksonville","FL",32226,"Truck","Silver","Unknown","Male","Unknown"
"184",1284201,"Rye","NY",10580,"Sedan, 4 door","White","White","Male","Unknown"
"185",1284341,"Westmont","IL",60559,"Sedan, 4 door","Beige","Unknown","Male","Unknown"
"186",1284495,"Arlington","VA",22202,"Van","White","White","Male","20-29"
"187",1284583,"Hamburg (Tilden Twp)","PA",19526,"Sport Utility","Black","Unknown","Unknown","Unknown"
"188",1284684,"Ferguson","MO",63136,"Sport Utility","Gold","Black","Male","30-39"
"189",1284937,"Miami","FL",33144,"Sport Utility","White","Black","Male","Unknown"
"190",1284943,"Miami","FL",33147,"Sport Utility","White","Black","Male","Unknown"
"191",1284964,"Colorado Springs","CO",80903,"Pickup Truck","Dark","Hispanic","Male","25-26"
"192",1284974,"Pittston","PA",18640,"Sedan, 4 door","Black","Black","Male","Unknown"
"193",1284981,"Conestoga","PA",17516,"Pickup Truck","Red","Unknown","Male","Unknown"
"194",1285117,"Winter Springs","FL",32771,"Pickup Truck","White","Unknown","Male","26-34"
"195",1261968,"Cleveland","OH",44135,"Sedan, 4 door","White","Unknown","Female","Unknown"
"196",1262695,"Chicago","IL",60646,"Sedan, 4 door","Black","Black","Male","25-35"
"197",1262696,"Chicago","IL",60634,"Sport Utility","White","White","Male","Unknown"
"198",1262706,"Essex","VT",5452,"Van","Red","Unknown","Female","Unknown"
"199",1263462,"Hilliard","OH",43026,"Van","Gray","Black","Male","16-23"
"200",1264459,"Stockton","CA",95219,"Station Wagon","Black","Black","Male","40-49"
"201",1266049,"Lake Butler","FL",32054,"Van","Dark","White","Female","35-50"
"202",1267793,"Chicago","IL",60645,"Sport Utility","Black","White","Female","20-30"
"203",1270414,"Clarksville","TN",37042,"Van","Red","Black","Male","25-26"
"204",1272761,"Peekskill","NY",10566,"Van","White","White","Male","20-29"
"205",1276320,"Spencer","WI",54479,"Van","Blue","Unknown","Male","Unknown"
"206",1281744,"Charlotte","NC",28203,"Van","Blue","Unknown","Female","13-17"
"207",1283548,"Southfield","MI",48075,"Pickup Truck","Black","White","Male","40-49"
"208",1284583,"Hamburg (Tilden Twp)","PA",19526,"Sport Utility","Black","White","Male","Unknown"
